Name,Data File,Type,Level,Acq. Date-Time,Copepodamide,RT,Final Conc.,Accuracy,Noise,S/N,Area
200nM,SCW_HP20-027.d,Cal,200000,2/2/2024 9:01 PM,LysoCA_448 Results,2.832,200000,100,0.63,1110.52,4806
100nM,A2B2C-R1-009.d,Cal,100000,2/3/2024 5:13 PM,LysoCA_448 Results,2.84,100000,100,1.48,262.08,2628
A_Tjarno_std,A2B2C-R1-107.d,Sample,,2/5/2024 10:55 AM,LysoCA_448 Results,2.84,417544.9365,,3.17,468.38,9543
B_Mussel_std,A2B2C-R1-108.d,Sample,,2/5/2024 11:21 AM,LysoCA_448 Results,2.84,735577.6316,,1.93,1208.94,16470
C_Culture_testA,A2B2C-R1-109.d,Sample,,2/5/2024 11:47 AM,LysoCA_448 Results,2.798,344670023.2,,31.9,24047.54,7506971
D_Culture_testB,A2B2C-R1-110.d,Sample,,2/5/2024 12:12 PM,LysoCA_448 Results,2.782,933027801.1,,3.99,540725.84,20320733
E_100nM_test,A2B2C-R1-111.d,Sample,,2/5/2024 12:38 PM,LysoCA_448 Results,2.84,3627244.16,,5.95,1730.25,79447
F_1nM_test,A2B2C-R1-112.d,Sample,,2/5/2024 1:03 PM,LysoCA_448 Results,2.823,311082.2476,,2.59,390.48,7225
200nM,SCW_HP20-027.d,Cal,200000,2/2/2024 9:01 PM,LysoDCA_450 Results,2.944,200000,100,1.34,18.07,280
100nM,A2B2C-R1-009.d,Cal,100000,2/3/2024 5:13 PM,LysoDCA_450 Results,2.969,100000,100,3.15,3.9,138
A_Tjarno_std,A2B2C-R1-107.d,Sample,,2/5/2024 10:55 AM,LysoDCA_450 Results,2.953,466231.3378,,0.58,109.37,660
B_Mussel_std,A2B2C-R1-108.d,Sample,,2/5/2024 11:21 AM,LysoDCA_450 Results,2.961,729915.5946,,1.29,67.19,1037
C_Culture_testA,A2B2C-R1-109.d,Sample,,2/5/2024 11:47 AM,LysoDCA_450 Results,2.919,346731852.1,,6.37,5647.69,494847
